City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,portland,-122.6762,45.5234,288.94,66,100,3.13,US,2023-04-24
333,port hardy,-127.4199,50.6996,282.25,81,75,2.57,CA,2023-04-24
334,mount gambier,140.7667,-37.8333,287.35,73,74,2.96,AU,2023-04-24
335,tsuruga,136.0558,35.6455,284.61,53,82,1.84,JP,2023-04-24
336,inirida,-67.9239,3.8653,297.55,90,100,1.41,CO,2023-04-24
337,kualakapuas,114.3876,-3.0091,296.49,99,100,1.2,ID,2023-04-24
338,george town,100.3354,5.4112,299.11,94,20,2.06,MY,2023-04-24
339,abrau-dyurso,37.59,44.69,282.86,94,100,4.58,RU,2023-04-24
340,fairbanks,-147.7164,64.8378,267.64,51,75,5.14,US,2023-04-24
341,geraldton,114.6,-28.7667,287.38,88,100,1.54,AU,2023-04-24
342,nueva londres,-56.5498,-25.4045,297.27,70,61,3.17,PY,2023-04-24
343,general roca,-67.5833,-39.0333,297.38,34,0,5.67,AR,2023-04-24
344,lappeenranta,28.1887,61.0587,279.18,89,0,1.03,FI,2023-04-24
345,verkhnevilyuysk,120.3167,63.4453,267.72,93,100,3.46,RU,2023-04-24
